,Influencers,Date,Tweet Text,Compound,Positive,Negative,Neutral,Tweets Ago
0,Oprah,Thu Jun 28 22:01:59 +0000 2018,We’re Live on Facebook! Join us now.,0.3595,0.293,0.0,0.707,100
1,Oprah,Thu Jun 28 21:46:29 +0000 2018,See ya from my porch in 15 minutes. LIVE FB #TheSunDoesShine,0.0,0.0,0.0,1.0,99
2,Oprah,Thu Jun 28 20:08:31 +0000 2018,Love this book and the author. Join me FBLive from my with your insights and questions 6pm eastern. https://t.co/qBqqW66qiV,0.7506,0.274,0.0,0.726,98
3,Oprah,Thu Jun 28 03:02:04 +0000 2018,I do so LOVE me some  #QueenSugar  Thank u forever @ava,0.8283,0.525,0.0,0.475,97
4,Oprah,Thu Jun 28 02:55:43 +0000 2018,"After 30 years of being on death row for a crime he did NOT do, Anthony Ray Hinton is ready to enjoy life. He and b… https://t.co/gvFdXlaKVr",-0.4019,0.162,0.211,0.627,96
5,Oprah,Thu Jun 28 02:53:05 +0000 2018,@MalikThaElite Intentional!,0.0,0.0,0.0,1.0,95
6,Oprah,Thu Jun 28 02:52:05 +0000 2018,@dawnlyen @shazbennett @thisthatchloe @OWNTV Yep you slayed that episode😘,0.296,0.216,0.0,0.784,94
7,Oprah,Thu Jun 28 02:50:02 +0000 2018,@AshBenton @OWNTV Pie Empire!!,0.0,0.0,0.0,1.0,93
8,Oprah,Wed Jun 27 02:48:30 +0000 2018,@AshBenton @OWNTV Nope.. not happening. Days are gone by-by.,0.0,0.0,0.0,1.0,92
9,Oprah,Wed Jun 27 02:45:34 +0000 2018,@MawuliChai @chillwillbey @LoveIsOWN @OWNTV So agree with you.,0.5009,0.316,0.0,0.684,91
10,Oprah,Wed Jun 27 02:13:44 +0000 2018,@LoveIsOWN Thank’s y’all. Here’s to Besties🍷🍷🍷! #LOVEis,0.0,0.0,0.0,1.0,90
11,Oprah,Wed Jun 27 02:11:51 +0000 2018,@AshBenton @OWNTV @MaraBrockAkil @thesalimakil Yep I remember.. and my parents always buggin’ .. “ Get off the Phone”!,0.3595,0.142,0.0,0.858,89
12,Oprah,Wed Jun 27 02:09:23 +0000 2018,RT @LoveIsOWN: #LOVEis the permission to design your own relationship. All new episode of Love Is___ TONIGHT! Grab your Yasir or your Nuri…,0.6696,0.17,0.0,0.83,88
13,Oprah,Wed Jun 27 02:05:31 +0000 2018,@3LWTV @OWNTV Love that. #Lovetribe what part of the world are you?,0.6369,0.276,0.0,0.724,87
14,Oprah,Wed Jun 27 02:04:30 +0000 2018,@RichOnOWN I remember by hairdo’s . #LOVEis,0.0,0.0,0.0,1.0,86
15,Oprah,Wed Jun 27 02:02:45 +0000 2018,#LOVEis happening now on @OWNTV,0.0,0.0,0.0,1.0,85
16,Oprah,Tue Jun 26 21:37:46 +0000 2018,TONIGHT! 10/9c on OWN. See ya there! 👋🏾 #LOVEis https://t.co/HhuRJgw1JN,0.5837,0.225,0.0,0.775,84
17,Oprah,Sat Jun 23 17:44:46 +0000 2018,Maria has been my friend since we were both young reporters in Baltimore. Her wisdom and open heart is what the wor… https://t.co/eRxPJnueyQ,0.765,0.239,0.0,0.761,83
18,Oprah,Thu Jun 21 03:02:59 +0000 2018,@DrennaB We love u for watching in all our complexity.,0.6369,0.344,0.0,0.656,82
19,Oprah,Thu Jun 21 03:01:47 +0000 2018,@mutual_feelings Woo Jesus is right! Ooo Lorty!,0.5696,0.38,0.0,0.62,81
20,Oprah,Thu Jun 28 22:01:59 +0000 2018,We’re Live on Facebook! Join us now.,0.3595,0.293,0.0,0.707,80
21,Oprah,Thu Jun 28 21:46:29 +0000 2018,See ya from my porch in 15 minutes. LIVE FB #TheSunDoesShine,0.0,0.0,0.0,1.0,79
22,Oprah,Thu Jun 28 20:08:31 +0000 2018,Love this book and the author. Join me FBLive from my with your insights and questions 6pm eastern. https://t.co/qBqqW66qiV,0.7506,0.274,0.0,0.726,78
23,Oprah,Thu Jun 28 03:02:04 +0000 2018,I do so LOVE me some  #QueenSugar  Thank u forever @ava,0.8283,0.525,0.0,0.475,77
24,Oprah,Thu Jun 28 02:55:43 +0000 2018,"After 30 years of being on death row for a crime he did NOT do, Anthony Ray Hinton is ready to enjoy life. He and b… https://t.co/gvFdXlaKVr",-0.4019,0.162,0.211,0.627,76
25,Oprah,Thu Jun 28 02:53:05 +0000 2018,@MalikThaElite Intentional!,0.0,0.0,0.0,1.0,75
26,Oprah,Thu Jun 28 02:52:05 +0000 2018,@dawnlyen @shazbennett @thisthatchloe @OWNTV Yep you slayed that episode😘,0.296,0.216,0.0,0.784,74
27,Oprah,Thu Jun 28 02:50:02 +0000 2018,@AshBenton @OWNTV Pie Empire!!,0.0,0.0,0.0,1.0,73
28,Oprah,Wed Jun 27 02:48:30 +0000 2018,@AshBenton @OWNTV Nope.. not happening. Days are gone by-by.,0.0,0.0,0.0,1.0,72
29,Oprah,Wed Jun 27 02:45:34 +0000 2018,@MawuliChai @chillwillbey @LoveIsOWN @OWNTV So agree with you.,0.5009,0.316,0.0,0.684,71
30,Oprah,Wed Jun 27 02:13:44 +0000 2018,@LoveIsOWN Thank’s y’all. Here’s to Besties🍷🍷🍷! #LOVEis,0.0,0.0,0.0,1.0,70
31,Oprah,Wed Jun 27 02:11:51 +0000 2018,@AshBenton @OWNTV @MaraBrockAkil @thesalimakil Yep I remember.. and my parents always buggin’ .. “ Get off the Phone”!,0.3595,0.142,0.0,0.858,69
32,Oprah,Wed Jun 27 02:09:23 +0000 2018,RT @LoveIsOWN: #LOVEis the permission to design your own relationship. All new episode of Love Is___ TONIGHT! Grab your Yasir or your Nuri…,0.6696,0.17,0.0,0.83,68
33,Oprah,Wed Jun 27 02:05:31 +0000 2018,@3LWTV @OWNTV Love that. #Lovetribe what part of the world are you?,0.6369,0.276,0.0,0.724,67
34,Oprah,Wed Jun 27 02:04:30 +0000 2018,@RichOnOWN I remember by hairdo’s . #LOVEis,0.0,0.0,0.0,1.0,66
35,Oprah,Wed Jun 27 02:02:45 +0000 2018,#LOVEis happening now on @OWNTV,0.0,0.0,0.0,1.0,65
36,Oprah,Tue Jun 26 21:37:46 +0000 2018,TONIGHT! 10/9c on OWN. See ya there! 👋🏾 #LOVEis https://t.co/HhuRJgw1JN,0.5837,0.225,0.0,0.775,64
37,Oprah,Sat Jun 23 17:44:46 +0000 2018,Maria has been my friend since we were both young reporters in Baltimore. Her wisdom and open heart is what the wor… https://t.co/eRxPJnueyQ,0.765,0.239,0.0,0.761,63
38,Oprah,Thu Jun 21 03:02:59 +0000 2018,@DrennaB We love u for watching in all our complexity.,0.6369,0.344,0.0,0.656,62
39,Oprah,Thu Jun 21 03:01:47 +0000 2018,@mutual_feelings Woo Jesus is right! Ooo Lorty!,0.5696,0.38,0.0,0.62,61
40,Oprah,Wed Jun 20 05:28:43 +0000 2018,@MaraBrockAkil That’s why this gives us the Feels. ❤️. All so authentic.,0.0,0.0,0.0,1.0,60
41,Oprah,Wed Jun 20 03:02:01 +0000 2018,@bigbrotherfan35 This made me 😂 Lort!  #LOVEis,0.4926,0.273,0.127,0.6,59
42,Oprah,Wed Jun 20 02:59:44 +0000 2018,@MyBeautyAndSoul @MaraBrockAkil   And @thesalimakil  based on their love story.❤️❤️,0.6369,0.344,0.0,0.656,58
43,Oprah,Wed Jun 20 02:55:21 +0000 2018,@mkpfaith @OWNTV Thanks so much🙏🏾,0.4404,0.42,0.0,0.58,57
44,Oprah,Wed Jun 20 02:49:47 +0000 2018,Feeling the love from you all for our new show. Thanks for showing up here and spreading the word. OWNers you Rock! #LOVEis,0.8356,0.308,0.0,0.692,56
45,Oprah,Wed Jun 20 02:45:07 +0000 2018,"Yes regular time slot, after Haves. 10pm #LOVEis",0.4019,0.278,0.0,0.722,55
46,Oprah,Wed Jun 20 02:33:13 +0000 2018,Remember collect calls y’all?“Heard you walkin around town in your drawers” made me😂#LoveIs,0.0,0.0,0.0,1.0,54
47,Oprah,Wed Jun 20 02:30:05 +0000 2018,@theGrio I’m looooovin’ it!  Every bit of it.,0.0,0.0,0.0,1.0,53
