News_Source,Tweet,Date,Compound,Positive,Neutral,Negative,Tweets_Ago
BBC,Is India really the most dangerous country for women? https://t.co/XbSKKQbaO3,Thu Jun 28 00:16:51 +0000 2018,-0.5657,0.0,0.289,0.711,1
BBC,What do European governments want from the EU Summit? https://t.co/4EHTLBtXHm,Thu Jun 28 00:13:42 +0000 2018,0.0772,0.126,0.0,0.874,2
BBC,World Cup 2018: Mexico fans celebrate South Korean 'brothers' https://t.co/NgkaKULS9w,Wed Jun 27 23:39:58 +0000 2018,0.5719,0.291,0.0,0.709,3
BBC,Europe's migration crisis: Could it finish the EU? https://t.co/DVhyHlFgCQ,Wed Jun 27 23:37:17 +0000 2018,-0.6249,0.0,0.339,0.661,4
BBC,Revamped drug could save lives of many new mothers - WHO https://t.co/dXPz5nf1pD,Wed Jun 27 23:31:50 +0000 2018,0.4939,0.242,0.0,0.758,5
BBC,Supreme Court: Why a fight over US abortion law now looms https://t.co/dQIagzjGu1,Wed Jun 27 22:12:31 +0000 2018,0.1027,0.228,0.266,0.506,6
BBC,Five attempts to make toys more inclusive https://t.co/q0TD2r1nlH,Wed Jun 27 21:34:47 +0000 2018,0.0,0.0,0.0,1.0,7
BBC,Asylum seekers in Ireland to be allowed to work https://t.co/733eZAPPjj,Wed Jun 27 21:22:33 +0000 2018,0.0,0.0,0.0,1.0,8
BBC,Flamingo that escaped a zoo in 2005 spotted in Texas https://t.co/jHKFQFdCxg,Wed Jun 27 19:54:02 +0000 2018,0.0,0.0,0.0,1.0,9
BBC,Antwon Rose: Pittsburgh officer charged with criminal homicide https://t.co/WKZw6ZUuuq,Wed Jun 27 19:25:28 +0000 2018,-0.6369,0.0,0.426,0.574,10
BBC,RT @awzurcher: Your daily “elections have consequences” reminder. If Hillary Clinton had won we’d be looking at a 6-3 liberal majority on t…,Wed Jun 27 18:52:22 +0000 2018,0.5719,0.15,0.0,0.85,11
BBC,Trump Supreme Court pick: Why is the US top court so important? https://t.co/580QVujKIz,Wed Jun 27 18:47:17 +0000 2018,0.7574,0.428,0.0,0.572,12
BBC,Trump-Putin summit agreed by US and Russia in principle https://t.co/H20hvks2hD,Wed Jun 27 18:33:54 +0000 2018,0.2732,0.189,0.0,0.811,13
BBC,"RT @awzurcher: Without Anthony Kennedy on the US Supreme Court, there really won't be a swing justice. Whoever replaces him will move the C…",Wed Jun 27 18:28:47 +0000 2018,0.2081,0.132,0.101,0.767,14
BBC,Migrant rescue ship Lifeline docks in Malta after days at sea https://t.co/pLQhBmVTbl,Wed Jun 27 18:20:44 +0000 2018,0.5106,0.231,0.0,0.769,15
BBC,"RT @BBCBreaking: A Supreme Court justice is to retire, giving President Trump the chance to reshape the top US court https://t.co/OC80dTFbCL",Wed Jun 27 18:18:56 +0000 2018,0.9042,0.468,0.0,0.532,16
BBC,US Supreme Court judge to retire https://t.co/Q2SoQLC0HF,Wed Jun 27 18:18:12 +0000 2018,0.5574,0.375,0.0,0.625,17
BBC,Where are heterosexual civil partnerships legal? https://t.co/L4EW8Xrfai,Wed Jun 27 17:38:31 +0000 2018,0.128,0.2,0.0,0.8,18
